nationality_id,iso_alpha3,nationality_name,faculty_code,faculty_name,student_count,param_year,param_semester,source_file
MM,MMR,เมียนมา (Myanmar),13,อุตสาหกรรมเกษตร,37.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-MM_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__a2d7d096.json
CN,CHN,จีน (Chinese),08,เกษตรศาสตร์,33.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-CN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b502ee6e.json
MM,MMR,เมียนมา (Myanmar),24,นานาชาตินวัตกรรมดิจิทัล,32.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-MM_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__a2d7d096.json
CN,CHN,จีน (Chinese),13,อุตสาหกรรมเกษตร,31.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-CN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b502ee6e.json
CN,CHN,จีน (Chinese),07,แพทยศาสตร์,30.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-CN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b502ee6e.json
CN,CHN,จีน (Chinese),04,สังคมศาสตร์,30.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-CN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b502ee6e.json
MM,MMR,เมียนมา (Myanmar),15,บริหารธุรกิจ,26.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-MM_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__a2d7d096.json
MM,MMR,เมียนมา (Myanmar),17,สถาปัตยกรรมศาสตร์,26.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-MM_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__a2d7d096.json
CN,CHN,จีน (Chinese),06,วิศวกรรมศาสตร์,24.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-CN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b502ee6e.json
CN,CHN,จีน (Chinese),05,วิทยาศาสตร์,24.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-CN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b502ee6e.json
CN,CHN,จีน (Chinese),11,เทคนิคการแพทย์,22.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-CN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b502ee6e.json
CN,CHN,จีน (Chinese),17,สถาปัตยกรรมศาสตร์,21.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-CN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b502ee6e.json
LA,LAO,ลาว (Lao),06,วิศวกรรมศาสตร์,17.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-LA_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5921e99d.json
MM,MMR,เมียนมา (Myanmar),11,เทคนิคการแพทย์,17.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-MM_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__a2d7d096.json
JP,JPN,ญี่ปุ่น (Japanese),01,มนุษยศาสตร์,16.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-JP_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c49f0e7d.json
MM,MMR,เมียนมา (Myanmar),22,สาธารณสุขศาสตร์,12.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-MM_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__a2d7d096.json
US,USA,สหรัฐอเมริกา (American),04,สังคมศาสตร์,11.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-US_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__0fa8e48d.json
