admission_scope,admit_year,faculty_code,faculty_name,issued_male,issued_female,issued_total,waived_male,waived_female,waived_total,remaining_male,remaining_female,remaining_total,waive_rate,yield_rate,source_file
all,2567,,คณะวิจิตรศิลป์,157.0,309.0,466.0,7.0,9.0,16.0,150.0,300.0,450.0,0.034334763948497854,0.9656652360515021,data_s002001__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
all,2567,,วิทยาลัยศิลปะ สื่อ และเทคโนโลยี,259.0,202.0,461.0,19.0,33.0,52.0,240.0,169.0,409.0,0.11279826464208242,0.8872017353579176,data_s002001__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
all,2567,,คณะพยาบาลศาสตร์,62.0,348.0,410.0,4.0,16.0,20.0,58.0,332.0,390.0,0.04878048780487805,0.9512195121951219,data_s002001__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
all,2567,,คณะการสื่อสารมวลชน,142.0,245.0,387.0,2.0,4.0,6.0,140.0,241.0,381.0,0.015503875968992248,0.9844961240310077,data_s002001__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
all,2567,,คณะเทคนิคการแพทย์,114.0,256.0,370.0,6.0,7.0,13.0,108.0,249.0,357.0,0.03513513513513514,0.9648648648648649,data_s002001__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
all,2567,,คณะสังคมศาสตร์,113.0,283.0,396.0,16.0,32.0,48.0,97.0,251.0,348.0,0.12121212121212122,0.8787878787878788,data_s002001__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
all,2567,,คณะแพทยศาสตร์,182.0,166.0,348.0,5.0,10.0,15.0,177.0,156.0,333.0,0.04310344827586207,0.9568965517241379,data_s002001__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
all,2567,,คณะนิติศาสตร์,107.0,237.0,344.0,7.0,4.0,11.0,100.0,233.0,333.0,0.03197674418604651,0.9680232558139535,data_s002001__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
all,2567,,คณะรัฐศาสตร์และรัฐประศาสนศาสตร์,141.0,188.0,329.0,6.0,2.0,8.0,135.0,186.0,321.0,0.0243161094224924,0.9756838905775076,data_s002001__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
all,2567,,คณะทันตแพทยศาสตร์,64.0,177.0,241.0,4.0,7.0,11.0,60.0,170.0,230.0,0.04564315352697095,0.9543568464730291,data_s002001__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
all,2567,,คณะสถาปัตยกรรมศาสตร์,88.0,145.0,233.0,10.0,9.0,19.0,78.0,136.0,214.0,0.0815450643776824,0.9184549356223176,data_s002001__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
all,2567,,คณะเภสัชศาสตร์,89.0,135.0,224.0,6.0,5.0,11.0,83.0,130.0,213.0,0.049107142857142856,0.9508928571428571,data_s002001__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
all,2567,,วิทยาลัยนานาชาตินวัตกรรมดิจิทัล,77.0,82.0,159.0,3.0,12.0,15.0,74.0,70.0,144.0,0.09433962264150944,0.9056603773584906,data_s002001__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
all,2567,,คณะสัตวแพทยศาสตร์,45.0,80.0,125.0,3.0,2.0,5.0,42.0,78.0,120.0,0.04,0.96,data_s002001__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
all,2567,,วิทยาลัยพหุวิทยาการและสหวิทยาการ,30.0,60.0,90.0,7.0,15.0,22.0,23.0,45.0,68.0,0.24444444444444444,0.7555555555555555,data_s002001__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
all,2567,,คณะสาธารณสุขศาสตร์,15.0,19.0,34.0,2.0,0.0,2.0,13.0,19.0,32.0,0.058823529411764705,0.9411764705882353,data_s002001__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
