stat_id,faculty_code,faculty_name,program_code,program_name,level,curriculum_type,student_count,param_year,param_semester,param_admityear,source_file
s004005,12,คณะพยาบาลศาสตร์,22,การพยาบาลผู้ใหญ่และผู้สูงอายุ,ปริญญาโท,,73.0,2567,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2567__cc2eb791.json
s004005,24,วิทยาลัยนานาชาตินวัตกรรมดิจิทัล,01,นวัตกรรมดิจิทัลและเทคโนโลยีการเงิน,ปริญญาโท,,73.0,2567,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2567__cc2eb791.json
s004005,01,คณะมนุษยศาสตร์,01,จิตวิทยาการปรึกษา,ปริญญาโท,,72.0,2567,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2567__cc2eb791.json
s004005,01,คณะมนุษยศาสตร์,01,จิตวิทยาการปรึกษา,ปริญญาโท,,72.0,2567,2,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2567__14bbb763.json
s004005,12,คณะพยาบาลศาสตร์,20,การบริหารทางการพยาบาล,ปริญญาโท,,71.0,2567,2,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2567__14bbb763.json
s004005,07,คณะแพทยศาสตร์,08,ระบาดวิทยาคลินิก,ปริญญาเอก,,71.0,2567,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2567__cc2eb791.json
s004005,21,วิทยาลัยศิลปะ สื่อ และเทคโนโลยี,03,การจัดการความรู้และนวัตกรรม,ปริญญาโท,,70.0,2567,2,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2567__14bbb763.json
s004005,21,วิทยาลัยศิลปะ สื่อ และเทคโนโลยี,04,การจัดการเทคโนโลยีดิจิทัล,ปริญญาโท,,70.0,2568,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2568__5ca58e19.json
s004005,07,คณะแพทยศาสตร์,08,ระบาดวิทยาคลินิก,ปริญญาเอก,,70.0,2568,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2568__5ca58e19.json
s004005,06,คณะวิศวกรรมศาสตร์,01,วิศวกรรมและการบริหารการก่อสร้าง,ปริญญาโท,,69.0,2567,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2567__cc2eb791.json
s004005,02,คณะศึกษาศาสตร์,22,ประเมินผลและวิจัยการศึกษา,ปริญญาโท,,69.0,2568,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2568__5ca58e19.json
s004005,02,คณะศึกษาศาสตร์,26,หลักสูตรและการสอน,ปริญญาโท,,69.0,2567,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2567__cc2eb791.json
s004005,06,คณะวิศวกรรมศาสตร์,02,วิศวกรรมโยธา,ปริญญาโท,,68.0,2568,2,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s004005,17,คณะสถาปัตยกรรมศาสตร์,01,สถาปัตยกรรม,ปริญญาโท,,68.0,2568,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2568__5ca58e19.json
s004005,12,คณะพยาบาลศาสตร์,22,การพยาบาลผู้ใหญ่และผู้สูงอายุ,ปริญญาโท,,68.0,2568,2,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s004005,24,วิทยาลัยนานาชาตินวัตกรรมดิจิทัล,01,นวัตกรรมดิจิทัลและเทคโนโลยีการเงิน,ปริญญาโท,,68.0,2567,2,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2567__14bbb763.json
s004005,12,คณะพยาบาลศาสตร์,20,การบริหารทางการพยาบาล,ปริญญาโท,,67.0,2568,2,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s004005,12,คณะพยาบาลศาสตร์,22,การพยาบาลผู้ใหญ่และผู้สูงอายุ,ปริญญาโท,,67.0,2567,2,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2567__14bbb763.json
s004005,06,คณะวิศวกรรมศาสตร์,02,วิศวกรรมโยธา,ปริญญาโท,,67.0,2567,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2567__cc2eb791.json
s004005,15,คณะบริหารธุรกิจ,08,นวัตกรรมธุรกิจสำหรับผู้บริหาร,ปริญญาโท,,67.0,2568,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2568__5ca58e19.json
s004005,09,คณะทันตแพทยศาสตร์,10,ทันตแพทยศาสตร์,ประกาศนียบัตรบัณฑิต,,66.0,2568,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2568__5ca58e19.json
s004005,06,คณะวิศวกรรมศาสตร์,14,วิศวกรรมโลจิสติกส์และการจัดการโซ่อุปทาน,ปริญญาโท,,66.0,2567,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2567__cc2eb791.json
s004005,15,คณะบริหารธุรกิจ,08,นวัตกรรมธุรกิจสำหรับผู้บริหาร,ปริญญาโท,,65.0,2568,2,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s004005,07,คณะแพทยศาสตร์,08,ระบาดวิทยาคลินิก,ปริญญาเอก,,65.0,2568,2,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s004005,06,คณะวิศวกรรมศาสตร์,02,วิศวกรรมโยธา,ปริญญาโท,,63.0,2567,2,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2567__14bbb763.json
s004005,09,คณะทันตแพทยศาสตร์,10,ทันตแพทยศาสตร์,ประกาศนียบัตรบัณฑิต,,63.0,2567,2,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2567__14bbb763.json
s004005,21,วิทยาลัยศิลปะ สื่อ และเทคโนโลยี,04,การจัดการเทคโนโลยีดิจิทัล,ปริญญาโท,,62.0,2568,2,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s004005,13,คณะอุตสาหกรรมเกษตร,01,วิทยาศาสตร์และเทคโนโลยีการอาหาร,ปริญญาโท,,62.0,2568,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2568__5ca58e19.json
s004005,02,คณะศึกษาศาสตร์,22,ประเมินผลและวิจัยการศึกษา,ปริญญาโท,,62.0,2568,2,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s004005,15,คณะบริหารธุรกิจ,04,การตลาด,ปริญญาโท,,62.0,2568,2,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s004005,02,คณะศึกษาศาสตร์,26,หลักสูตรและการสอน,ปริญญาโท,,62.0,2567,2,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2567__14bbb763.json
s004005,13,คณะอุตสาหกรรมเกษตร,01,วิทยาศาสตร์และเทคโนโลยีการอาหาร,ปริญญาโท,,61.0,2567,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2567__cc2eb791.json
s004005,09,คณะทันตแพทยศาสตร์,10,ทันตแพทยศาสตร์,ประกาศนียบัตรบัณฑิต,,61.0,2568,2,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s004005,17,คณะสถาปัตยกรรมศาสตร์,01,สถาปัตยกรรม,ปริญญาโท,,60.0,2568,2,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s004005,20,คณะนิติศาสตร์,01,นิติศาสตร์,ปริญญาโท,,60.0,2568,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2568__5ca58e19.json
s004005,10,คณะเภสัชศาสตร์,01,เภสัชศาสตร์,ปริญญาเอก,,60.0,2568,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2568__5ca58e19.json
s004005,24,วิทยาลัยนานาชาตินวัตกรรมดิจิทัล,01,นวัตกรรมดิจิทัลและเทคโนโลยีการเงิน,ปริญญาเอก,,60.0,2567,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2567__cc2eb791.json
